gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -5.17682 2.135646 5.491231 -98.0 7.211103 -60.0
1 -5.072788 2.270625 9.070411 -97.8 7.560423 -50.0
2 -3.880636 4.11784 9.179917 -93.8 13.84052 -50.0
3 -2.847141 5.558165 12.179917 -90.3 18.679133 -40.0
4 -2.799536 5.638207 12.070411 -90.1 18.947031 -40.0
5 -0.731446 6.811582 15.036421 -83.1 22.964973 -30.0
6 0.72424 7.41996 12.070411 -78.0 24.979992 -40.0
7 3.966422 7.446058 12.070411 -67.1 25.071697 -40.0
8 6.621806 6.430381 12.070411 -58.1 21.5729 -40.0
9 8.134601 5.212143 12.070411 -53.0 17.406895 -40.0
10 9.567252 4.18394 12.070411 -48.2 13.955644 -40.0
11 10.221253 3.233416 12.070411 -46.0 10.77033 -40.0
12 11.451401 1.175988 12.070411 -41.9 3.923009 -40.0
13 11.451765 1.577737 12.070411 -41.9 5.233546 -40.0
14 11.614105 1.047837 12.070411 -41.4 3.46987 -40.0
15 11.779371 0.870051 12.070411 -40.9 2.861818 -40.0
16 12.024793 0.302974 12.070411 -40.1 0.994987 -40.0
17 12.061224 0.01252 12.070411 -40.0 0.0 -40.0
18 12.065424 0.010297 12.070411 -40.0 0.0 -40.0
19 12.069361 0.005144 12.070411 -40.0 0.0 -40.0
20 12.070411 0.0 12.070411 -40.0 0.0 -40.0
