gen mean_fit std_fit max_fit
2 4.424175 25.873662 90.079688
3 6.645684 28.676488 90.079688
4 6.986649 28.667242 90.079688
5 10.91923 31.525157 90.079688
6 14.724369 34.250743 90.079688
7 20.510844 37.756229 91.323246
8 22.822051 37.818716 91.323246
9 26.19772 39.152998 91.323246
10 29.839045 39.72175 91.323246
11 34.301967 40.65362 91.323246
12 36.77301 40.673544 91.323246
13 40.411449 40.050434 91.323246
14 46.329494 38.252472 91.323246
15 50.648493 36.798384 91.323246
16 51.616042 36.398074 91.323246
17 56.364064 34.254592 91.323246
18 59.291359 32.236372 91.323246
19 59.305105 33.454546 91.323246
20 66.52679 27.839141 91.323246
