gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 5.853426 18.059185 56.207575 -93.133275 29.935131 -10.292451
1 14.774926 20.207374 56.207575 -77.673702 32.93086 -10.292451
2 26.849522 18.782097 57.499081 -58.381482 30.784395 -5.72816
3 30.4377 19.972817 57.499081 -52.893663 33.491041 -5.72816
4 38.895836 15.208936 57.499081 -38.159033 25.381774 -5.72816
5 40.230898 15.40273 59.549557 -35.300648 24.854641 -1.663023
6 37.548818 17.809927 59.549557 -39.784327 29.137634 -1.663023
7 40.164954 17.123393 60.742577 -35.037002 27.991131 -1.055695
8 41.774319 17.315297 60.742577 -32.471415 29.174154 -0.322569
9 41.0256 19.238412 60.742577 -33.215631 31.97337 -0.322569
10 46.305498 18.410529 61.353789 -24.680316 30.671972 2.017626
11 51.19788 15.657111 61.353789 -16.084196 26.130542 2.017626
12 56.054624 5.841853 61.353789 -7.958126 10.480671 2.017626
13 52.357627 18.008332 61.396257 -13.870243 30.609767 2.123796
14 57.6788 5.016396 61.396257 -4.876442 9.295364 2.123796
15 55.317643 13.138626 61.396257 -8.79754 22.632614 2.123796
16 55.635058 8.577346 61.396257 -8.37981 15.148146 2.123796
17 56.607432 10.182108 61.405999 -6.657006 17.755166 2.148152
18 56.268833 9.803042 61.405999 -7.230992 17.046021 2.148152
19 55.181717 12.512665 62.716347 -8.777607 20.996729 4.473177
20 56.909401 6.930154 62.716347 -6.070812 12.07728 4.473177
