gen mean_fit std_fit max_fit
2 7.211771 26.23264 90.133561
3 8.300525 26.177798 90.133561
4 15.320767 32.627361 90.71642
5 17.306567 32.278861 90.71642
6 22.189718 33.977332 90.71642
7 25.531485 33.686795 90.71642
8 27.293623 33.231855 90.71642
9 28.542269 32.352472 90.71642
10 33.519415 32.059418 90.71642
11 36.435035 32.007728 90.71642
12 39.374315 32.019334 90.71642
13 44.818474 30.65689 90.71642
14 45.409679 31.162597 90.71642
15 47.072444 31.506732 90.71642
16 51.346098 30.608807 90.71642
17 53.32383 31.104621 90.71642
18 56.634443 29.69577 91.11194
19 59.072696 29.891353 91.11194
20 62.508886 28.595511 91.11194
