parameter_comb trial mean_fitness max_fitness mean_gain max_gain
(50,15,4) 0 49.10184258242069 60.73945540100173 -20.087643167276646 0.11427029008162748
(50,15,4) 1 50.62417575599469 61.04659874609986 -17.10210817338321 1.5488061992695439
(50,15,4) 2 48.814879563663204 59.62508989173222 -20.63048660574699 -1.6616849085770884
(50,15,8) 0 56.43251797773833 60.53963710209073 -8.513863606372563 -0.46328174225908825
(50,15,8) 1 49.60523275816165 59.09537297972276 -19.520125855279932 -2.6260881329313186
(50,15,8) 2 52.0026959615572 60.792650890214176 -15.277226308047393 -0.4113530621881196
(50,15,12) 0 56.62842662767166 61.17277742069661 -7.459648520826146 1.761879017000279
(50,15,12) 1 50.7309834058622 59.09811893501678 -17.866941383035254 -2.7598795429292657
(50,15,12) 2 55.85497625096845 64.54933515303364 -8.479770354477727 7.370600875028195
(50,25,4) 0 45.38628864863391 61.59915048146954 -25.76258355225072 2.342917353206863
(50,25,4) 1 51.55595584567033 61.579566228668234 -15.358557405424472 2.3891570107018456
(50,25,4) 2 54.970682963948605 62.02656627290879 -9.420034620267772 3.040791492505347
(50,25,8) 0 55.5919993768375 62.770846716578646 -9.041768401210922 4.137364902478996
(50,25,8) 1 57.493818869491385 61.82101535270923 -5.70319683601403 2.262173849306368
(50,25,8) 2 56.90940089466033 62.71634705759812 -6.070812391407169 4.473176978015205
(50,25,12) 0 46.3555675519097 60.41432916008603 -24.64411499543933 -0.017901496978517173
(50,25,12) 1 44.13603521469602 60.564431586895715 -28.01172565710323 -0.12835379742047692
(50,25,12) 2 46.96926238383789 60.65252127148848 -24.200966937211433 0.6279849843995677
(50,50,4) 0 32.674997737535534 59.760435749462765 -47.08339314624943 -0.8344491533035558
(50,50,4) 1 39.85858704304918 60.15605403526316 -35.63632623605131 -0.5140365963899924
(50,50,4) 2 55.13344708562559 59.97762859864421 -9.879886516419264 -0.7076978383085013
(50,50,8) 0 44.328947695150504 64.18263227787338 -29.1094689019539 6.637278555026008
(50,50,8) 1 45.500733456953206 62.934266262733495 -27.282736149334195 2.7582859197204996
(50,50,8) 2 52.91710540637063 60.22113948710961 -13.55350644761374 0.04767183730281843
