gen mean_fit std_fit max_fit
2 28.302572 35.232252 92.422348
3 43.793042 36.765377 92.649362
4 64.523062 32.645007 93.003428
5 74.366159 32.027385 93.003428
6 78.849958 29.199006 93.396796
7 76.783545 32.655803 93.396796
8 80.965813 28.776201 93.494823
9 81.3528 28.02736 93.494823
10 77.117285 32.680892 94.126708
11 80.447248 28.4466 94.126708
12 79.29294 30.377872 94.126708
13 78.806993 30.725455 94.126708
14 81.957196 27.299151 94.126708
15 83.275363 25.625645 94.126708
16 77.445999 32.508285 94.373263
17 83.634264 25.535772 94.373263
18 83.481166 25.547735 94.373263
19 84.51716 25.058337 94.373263
20 83.200279 25.027622 94.373263
