gen mean_fit std_fit max_fit
2 29.218245 28.728515 73.576695
3 53.209544 18.743293 73.576695
4 64.02509 14.016118 73.576695
5 72.091357 0.371584 73.576695
6 68.337323 13.68979 73.576695
7 69.018965 12.232232 73.596796
8 68.019947 14.402788 73.816695
9 72.283229 6.508297 73.816695
10 70.718964 11.241527 74.056695
11 73.606668 0.487279 74.483414
12 73.317551 1.081683 74.483414
