gen mean_fit std_fit max_fit
2 22.768652 34.379915 84.742666
3 38.018198 35.21857 84.746611
4 51.439559 30.799999 85.732977
5 60.979196 27.526258 85.732977
6 69.157747 22.175715 85.732977
7 70.842145 24.088149 85.732977
8 75.681632 17.752345 85.732977
9 75.987501 17.22933 85.732977
10 73.452869 23.157611 86.086039
11 77.316363 16.445105 86.086039
12 78.211921 15.675273 86.086039
13 75.262525 22.374631 86.086039
14 75.213443 21.504028 86.086039
15 76.989167 20.977733 86.086039
