gen mean_fit std_fit max_fit
2 23.41522 37.433834 92.599465
3 29.379456 39.554343 92.599465
4 37.230442 41.068672 92.599465
5 44.674637 41.656714 92.599465
6 51.219289 40.953671 92.599465
7 60.853755 38.045395 92.599465
8 68.875445 34.185067 92.599465
9 77.44698 26.124723 92.599465
10 85.559305 14.398386 92.971026
11 88.97736 10.627914 93.135203
12 88.352774 13.81647 93.314823
13 86.28148 19.029823 93.314823
14 87.654596 17.57357 93.314823
15 90.272192 9.715076 93.42704
16 89.308379 14.868042 93.42704
17 90.79165 8.889291 93.42704
18 89.66649 13.499747 93.42704
19 87.402918 20.277225 93.42704
20 90.109092 10.135371 93.42704
