enemy,player_health,enemy_health,gain,time,lefts,rights,jumps,releases,shots,accuracy
7,67.6,0,67.6,202,21,127,202,182,202,0.5
7,67.6,0,67.6,202,42,254,404,364,404,0.25
7,67.6,0,67.6,202,63,381,606,546,606,0.17
7,67.6,0,67.6,202,84,508,808,728,808,0.12
7,67.6,0,67.6,202,105,635,1010,910,1010,0.1
7,91.0,0,91.0,137,0,0,137,131,137,0.73
7,91.0,0,91.0,137,0,0,274,262,274,0.36
7,91.0,0,91.0,137,0,0,411,393,411,0.24
7,91.0,0,91.0,137,0,0,548,524,548,0.18
7,91.0,0,91.0,137,0,0,685,655,685,0.15
7,73.0,0,73.0,211,55,161,15,207,209,0.48
7,73.0,0,73.0,211,110,322,30,414,418,0.24
7,73.0,0,73.0,211,165,483,45,621,627,0.16
7,73.0,0,73.0,211,220,644,60,828,836,0.12
7,73.0,0,73.0,211,275,805,75,1035,1045,0.1
7,77.8,0,77.8,199,18,104,0,199,199,0.5
7,77.8,0,77.8,199,36,208,0,398,398,0.25
7,77.8,0,77.8,199,54,312,0,597,597,0.17
7,77.8,0,77.8,199,72,416,0,796,796,0.13
7,77.8,0,77.8,199,90,520,0,995,995,0.1
7,35.2,0,35.2,236,17,143,50,204,236,0.42
7,35.2,0,35.2,236,34,286,100,408,472,0.21
7,35.2,0,35.2,236,51,429,150,612,708,0.14
7,35.2,0,35.2,236,68,572,200,816,944,0.11
7,35.2,0,35.2,236,85,715,250,1020,1180,0.08
7,26.2,0,26.2,210,0,114,210,210,210,0.48
7,26.2,0,26.2,210,0,228,420,420,420,0.24
7,26.2,0,26.2,210,0,342,630,630,630,0.16
7,26.2,0,26.2,210,0,456,840,840,840,0.12
7,26.2,0,26.2,210,0,570,1050,1050,1050,0.1
7,55.6,0,55.6,199,44,176,0,3,187,0.53
7,55.6,0,55.6,199,88,352,0,6,374,0.27
7,55.6,0,55.6,199,132,528,0,9,561,0.18
7,55.6,0,55.6,199,176,704,0,12,748,0.13
7,55.6,0,55.6,199,220,880,0,15,935,0.11
7,49.6,0,49.6,197,34,193,193,166,197,0.51
7,49.6,0,49.6,197,68,386,386,332,394,0.25
7,49.6,0,49.6,197,102,579,579,498,591,0.17
7,49.6,0,49.6,197,136,772,772,664,788,0.13
7,49.6,0,49.6,197,170,965,965,830,985,0.1
7,47.2,0,47.2,200,33,195,200,200,190,0.53
7,47.2,0,47.2,200,66,390,400,400,380,0.26
7,47.2,0,47.2,200,99,585,600,600,570,0.18
7,47.2,0,47.2,200,132,780,800,800,760,0.13
7,47.2,0,47.2,200,165,975,1000,1000,950,0.11
7,72.4,0,72.4,199,32,154,0,199,199,0.5
7,72.4,0,72.4,199,64,308,0,398,398,0.25
7,72.4,0,72.4,199,96,462,0,597,597,0.17
7,72.4,0,72.4,199,128,616,0,796,796,0.13
7,72.4,0,72.4,199,160,770,0,995,995,0.1
