gen mean_fit std_fit max_fit
2 60.182685 18.536575 83.092245
3 71.799228 11.346676 83.092245
4 75.430241 8.508431 83.092245
5 77.243018 11.553549 83.092245
6 77.976926 11.494779 83.092245
7 80.995765 6.979938 83.092245
8 82.318965 2.682522 83.092245
9 82.062439 8.053643 83.092245
10 80.968663 9.846538 83.092245
11 82.362165 4.353488 83.092245
12 82.422645 3.881034 83.092245
13 80.537479 12.278584 83.092245
14 82.496085 2.908249 83.092245
15 82.560885 3.665631 83.092245
16 82.928085 0.888556 83.092245
17 81.829415 8.403658 83.092245
18 80.316015 12.138421 83.092245
19 81.744405 4.356899 83.092245
20 81.817845 6.27308 83.092245
