mean_fit std_fit max_fit mean_gain std_gain max_gain
-0.914836 10.663959 39.375982 -94.7 11.700855 -50.0
0.483743 11.747333 39.375982 -93.1 12.937929 -50.0
2.022292 12.741162 47.890752 -91.45 14.049822 -40.0
4.60009 15.064716 86.240905 -88.53 17.344137 24
6.146835 16.025097 86.240905 -86.75 18.737596 24
7.359226 16.167475 86.240905 -85.53 18.547213 24
8.519023 18.241656 86.240905 -84.166667 21.015206 24
10.444374 18.434104 86.240905 -82.028986 21.390754 24
11.842135 19.487873 86.240905 -80.504202 22.618827 24
9.901518 18.136771 84.3894 -82.754386 20.333 6
12.685449 18.604015 84.3894 -79.761468 20.938923 6
12.738659 19.943418 86.397464 -79.504762 23.34141 26
11.266261 19.576203 86.397464 -81.14 22.694942 26
12.12331 19.206471 86.397464 -80.25 22.530072 26
9.938561 19.239827 86.397464 -82.591837 22.446688 26
10.705747 20.548066 86.397464 -81.621053 23.794373 26
6.087928 19.247659 86.397464 -86.74 22.426154 26
6.004185 18.612929 65.996113 -87.1 20.702415 -20.0
8.093952 19.693772 65.996113 -84.848485 21.944081 -20.0
4.535499 18.073693 65.996113 -88.712871 20.131418 -20.0
