gen mean_fit std_fit max_fit
2 29.248408 34.913737 91.133548
3 52.64094 36.321311 91.226285
4 64.647077 34.607297 91.226285
5 70.489092 33.579678 91.716678
6 72.415283 32.224301 91.716678
7 68.023984 35.496218 91.716678
8 73.408298 32.860273 91.716678
9 83.848823 23.319676 91.716678
10 91.635929 0.185518 91.716678
11 90.440948 9.967314 91.716678
12 89.165219 13.979976 91.716678
13 89.169904 13.980732 91.716678
14 91.07647 7.076646 91.716678
15 89.169904 13.980732 91.716678
16 91.081156 7.076875 91.716678
17 88.539067 15.567049 91.716678
18 90.440948 9.967314 91.716678
19 91.707307 0.073483 91.716678
20 87.263338 18.263976 91.716678
