mean_fit std_fit max_fit mean_gain std_gain max_gain
0.738749 14.476273 56.740419 -92.8 16.067358 -30.0
0.131619 12.193228 56.740419 -93.45 13.512864 -30.0
1.678947 12.653952 56.740419 -91.8 14.027117 -30.0
4.168965 14.141788 57.174 -89.1 15.658544 -30.0
5.039051 15.534546 57.174 -88.15 17.206903 -30.0
7.286184 16.778353 57.174 -85.75 18.666481 -30.0
7.043096 16.55536 65.759724 -85.952381 18.395072 -20.0
10.427816 17.592506 65.759724 -82.222222 19.559185 -20.0
12.446495 19.81796 65.759724 -80.0 22.083757 -20.0
14.121631 20.847964 65.759724 -78.198198 23.257207 -20.0
15.340492 20.958854 74.884108 -76.846847 23.364791 -10.0
13.453675 21.224682 74.884108 -78.910891 23.584732 -10.0
12.48336 22.161874 85.819983 -79.80198 25.289617 20
14.235253 22.422291 85.819983 -77.894737 25.624607 20
11.21234 22.799381 85.819983 -81.176471 26.020132 20
9.800061 21.024994 85.819983 -82.783505 24.144849 20
4.273782 18.098883 85.819983 -88.8 20.941824 20
6.792912 19.939753 85.819983 -86.1 22.973681 20
7.234326 19.227052 85.393424 -85.683168 21.993217 16
7.995167 18.326506 85.393424 -84.84 21.041255 16
