gen mean_fit std_fit max_fit
2 22.201726 29.196146 75.691732
3 30.426586 28.62745 75.691732
4 41.134346 26.088143 87.392892
5 47.327899 24.957956 88.772828
6 52.954042 21.382184 88.772828
7 54.345674 23.76541 88.772828
8 58.295789 21.704814 88.772828
9 62.69639 19.185076 88.772828
10 60.775989 26.550222 88.832892
11 67.593458 23.316527 89.192892
12 68.391661 26.218633 93.10625
13 72.103627 25.504303 93.10625
14 78.312521 20.28406 93.10625
15 82.00145 19.532749 93.10625
16 83.043876 19.278333 93.10625
17 84.73715 16.026732 93.10625
18 82.317525 20.928425 93.10625
19 83.707702 17.824431 93.10625
20 84.7997 18.074911 93.10625
