gen mean_fit std_fit max_fit
2 3.505691 11.570547 48.24188
3 10.04773 14.665606 48.24188
4 14.259097 16.369678 48.24188
5 19.532039 17.435521 50.406794
6 26.111764 17.299068 50.416695
7 33.570887 16.514066 50.421683
8 46.152616 5.180269 50.421683
9 50.122544 0.815164 50.426695
10 50.382689 0.169884 50.966695
11 50.383917 0.393107 50.966695
12 50.532741 0.307033 50.966695
13 50.607389 0.647846 52.581683
14 49.801178 7.383671 53.608142
15 47.783082 12.78522 55.223414
16 50.672133 8.967562 55.223414
17 51.948196 7.159512 55.228142
18 51.901832 8.30006 55.228142
19 53.428623 4.679309 55.228142
20 53.100864 6.828008 56.838708
