Parameter Comb.	Enemy	Trial	Mean Fitness
(25, 4, 0.01)	8	1	85.47462916695284
(25, 4, 0.01)	8	2	74.76246687926474
(25, 4, 0.05)	5	0	89.0629288769749
(25, 4, 0.05)	5	1	85.58337779636649
(25, 4, 0.05)	5	2	86.06625937616633
(25, 4, 0.05)	7	0	85.9761481230678
(25, 4, 0.05)	7	1	84.71829646213546
(25, 4, 0.05)	7	2	87.55648605415894
(25, 4, 0.05)	8	0	80.72829936888571
(25, 4, 0.05)	8	1	87.75074947746018
(25, 4, 0.05)	8	2	83.98076164988302
(25, 4, 0.1)	5	0	92.28617677045075
(25, 4, 0.1)	5	1	91.05342217638619
(25, 4, 0.1)	5	2	93.3911654968756
(25, 4, 0.1)	7	0	91.361362337337
(25, 4, 0.1)	7	1	89.26896446268148
(25, 4, 0.1)	7	2	85.82585444488673
(25, 4, 0.1)	8	0	89.28170092630688
(25, 4, 0.1)	8	1	80.83063917606462
(25, 4, 0.1)	8	2	84.2509334102896
(25, 8, 0.01)	5	0	93.04554610848676
(25, 8, 0.01)	5	1	93.53933891657829
(25, 8, 0.01)	5	2	93.87970030723889
(25, 8, 0.01)	7	0	90.7462097257236
(25, 8, 0.01)	7	1	90.3666921497423
(25, 8, 0.01)	7	2	91.34789498264678
(25, 8, 0.01)	8	0	80.12917741977782
(25, 8, 0.01)	8	1	88.97741315374981
(25, 8, 0.01)	8	2	91.19739841005794
(25, 8, 0.05)	5	0	93.7385235423426
(25, 8, 0.05)	5	1	92.97415773963542
(25, 8, 0.05)	5	2	94.35183403886641
(25, 8, 0.05)	7	0	88.93507329042797
(25, 8, 0.05)	7	1	89.32938590030955
(25, 8, 0.05)	7	2	90.4508953325142
(25, 8, 0.05)	8	0	78.73684067140017
(25, 8, 0.05)	8	1	89.83839001555663
(25, 8, 0.05)	8	2	85.79164075832047
(25, 8, 0.1)	5	0	92.93982063282077
(25, 8, 0.1)	5	1	91.29807699058946
(25, 8, 0.1)	5	2	92.55615920496051
(25, 8, 0.1)	7	0	90.62146324094456
(25, 8, 0.1)	7	1	87.25156163553774
(25, 8, 0.1)	7	2	89.6685621973239
