enemy,player_health,enemy_health,gain,time,lefts,rights,jumps,releases,shots,accuracy
7,41.8,0,41.8,197,30,197,197,197,197,0.51
7,41.8,0,41.8,197,60,394,394,394,394,0.25
7,41.8,0,41.8,197,90,591,591,591,591,0.17
7,41.8,0,41.8,197,120,788,788,788,788,0.13
7,41.8,0,41.8,197,150,985,985,985,985,0.1
7,44.8,0,44.8,197,36,197,197,197,197,0.51
7,44.8,0,44.8,197,72,394,394,394,394,0.25
7,44.8,0,44.8,197,108,591,591,591,591,0.17
7,44.8,0,44.8,197,144,788,788,788,788,0.13
7,44.8,0,44.8,197,180,985,985,985,985,0.1
7,66.4,0,66.4,210,56,183,0,210,210,0.48
7,66.4,0,66.4,210,112,366,0,420,420,0.24
7,66.4,0,66.4,210,168,549,0,630,630,0.16
7,66.4,0,66.4,210,224,732,0,840,840,0.12
7,66.4,0,66.4,210,280,915,0,1050,1050,0.1
7,90.4,0,90.4,150,0,0,150,142,150,0.67
7,90.4,0,90.4,150,0,0,300,284,300,0.33
7,90.4,0,90.4,150,0,0,450,426,450,0.22
7,90.4,0,90.4,150,0,0,600,568,600,0.17
7,90.4,0,90.4,150,0,0,750,710,750,0.13
7,60.4,0,60.4,236,91,236,0,0,236,0.42
7,60.4,0,60.4,236,182,472,0,0,472,0.21
7,60.4,0,60.4,236,273,708,0,0,708,0.14
7,60.4,0,60.4,236,364,944,0,0,944,0.11
7,60.4,0,60.4,236,455,1180,0,0,1180,0.08
7,43.6,0,43.6,210,27,168,0,210,210,0.48
7,43.6,0,43.6,210,54,336,0,420,420,0.24
7,43.6,0,43.6,210,81,504,0,630,630,0.16
7,43.6,0,43.6,210,108,672,0,840,840,0.12
7,43.6,0,43.6,210,135,840,0,1050,1050,0.1
7,52.0,0,52.0,134,0,134,134,88,134,0.75
7,52.0,0,52.0,134,0,268,268,176,268,0.37
7,52.0,0,52.0,134,0,402,402,264,402,0.25
7,52.0,0,52.0,134,0,536,536,352,536,0.19
7,52.0,0,52.0,134,0,670,670,440,670,0.15
7,50.8,0,50.8,200,38,200,162,200,200,0.5
7,50.8,0,50.8,200,76,400,324,400,400,0.25
7,50.8,0,50.8,200,114,600,486,600,600,0.17
7,50.8,0,50.8,200,152,800,648,800,800,0.12
7,50.8,0,50.8,200,190,1000,810,1000,1000,0.1
7,58.0,0,58.0,213,42,195,0,8,212,0.47
7,58.0,0,58.0,213,84,390,0,16,424,0.24
7,58.0,0,58.0,213,126,585,0,24,636,0.16
7,58.0,0,58.0,213,168,780,0,32,848,0.12
7,58.0,0,58.0,213,210,975,0,40,1060,0.09
7,34.0,0,34.0,210,0,103,20,210,210,0.48
7,34.0,0,34.0,210,0,206,40,420,420,0.24
7,34.0,0,34.0,210,0,309,60,630,630,0.16
7,34.0,0,34.0,210,0,412,80,840,840,0.12
7,34.0,0,34.0,210,0,515,100,1050,1050,0.1
