gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 12.31818 22.275116 58.563422 -83.045041 37.7792 -4.799732
1 16.805419 21.510367 58.563422 -74.669453 35.761194 -4.799732
2 22.330794 20.987581 58.563422 -65.477054 34.639475 -4.799732
3 27.441175 19.240715 58.563422 -56.926813 31.678008 -4.799732
4 31.115323 19.030815 58.563422 -51.149393 31.747357 -4.799732
5 38.313248 13.872254 58.743392 -38.839774 22.641885 -3.36204
6 42.633869 12.997619 58.743392 -31.918748 21.82656 -3.36204
7 40.970747 16.680061 58.743392 -34.407238 27.691916 -3.36204
8 42.459174 16.565856 58.743392 -32.001234 27.614339 -3.36204
9 41.408691 19.779645 58.743392 -33.583662 32.912669 -3.36204
10 43.750985 15.887672 58.743392 -29.421326 25.865153 -3.36204
11 45.51073 15.343213 58.743392 -26.780963 25.308222 -3.36204
12 46.047706 14.843153 58.743392 -25.701211 24.801928 -3.36204
13 46.49926 14.438665 58.743392 -24.851771 24.081571 -3.36204
14 46.894017 16.141553 58.743392 -24.162234 27.106409 -3.36204
15 48.953435 13.118034 59.62509 -20.496505 22.297785 -1.672847
16 46.537331 16.672067 59.62509 -24.54141 27.775249 -1.672847
17 47.148316 17.285194 59.62509 -23.421308 28.983552 -1.672847
18 42.645744 21.277649 59.62509 -30.713528 35.368687 -1.672847
19 46.802072 19.534287 59.62509 -24.135674 33.252443 -1.661685
20 48.81488 16.433847 59.62509 -20.630487 27.762521 -1.661685
