gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 6.993947 19.218204 55.400914 -91.920493 32.394922 -10.724658
1 17.579671 20.413835 55.400914 -73.071705 33.469735 -10.724658
2 28.488505 18.625556 59.872085 -55.263985 30.985196 -1.055359
3 36.06638 17.638358 59.872085 -42.628301 29.411311 -1.055359
4 36.170354 18.561647 59.872085 -42.129701 30.611775 -1.055359
5 40.107489 17.087011 59.872085 -35.390179 28.221295 -1.055359
6 39.854636 17.284828 59.872085 -36.036639 28.505147 -1.055359
7 40.934053 18.67052 61.138016 -34.410255 31.520235 1.294946
8 41.891067 19.6806 62.606163 -32.451614 33.116849 3.557117
9 48.732753 14.397891 62.606163 -20.994379 24.172165 3.557117
10 45.863456 19.733287 62.606163 -25.388449 33.027684 3.557117
11 49.526383 17.715461 66.732938 -19.309685 30.023992 11.989211
12 51.921984 16.485542 66.732938 -15.088462 27.903572 11.989211
13 49.784964 17.800103 66.732938 -18.588276 29.914635 11.989211
14 51.475109 14.930682 66.732938 -15.730308 25.271052 11.989211
15 51.191003 16.64794 66.732938 -16.108678 28.106376 11.989211
16 51.298827 17.063148 66.732938 -16.000089 29.064923 11.989211
17 49.545385 17.487532 66.732938 -18.951502 29.601636 11.989211
18 48.456602 20.908549 66.732938 -20.848518 35.829177 11.989211
19 49.477061 18.88027 66.732938 -19.052136 32.295036 11.989211
20 53.530445 13.540795 66.732938 -12.038609 23.020834 11.989211
