gen mean_fit std_fit max_fit
2 4.288111 15.426573 48.798184
3 12.953259 19.137875 49.28065
4 24.730816 20.35 58.634699
5 36.285084 16.907755 61.882332
6 44.345838 13.533385 61.882332
7 47.260897 13.948193 61.882332
8 51.687654 11.217311 61.882332
9 57.197467 5.700617 61.882332
10 61.203651 0.880842 61.882332
11 61.618812 0.678309 62.422332
12 61.808892 0.300419 62.422332
13 61.444398 2.513238 62.422332
14 61.570534 2.561677 62.422332
15 60.524599 5.072108 62.422332
16 61.128377 4.248938 62.422332
17 61.732155 3.09692 62.422332
18 61.677775 3.476536 62.422332
19 61.000535 5.048698 62.422332
20 60.772597 8.086582 62.422332
