gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 7.692331 27.736959 93.282006 -82.76 38.612723 84.0
1 13.164971 31.765683 92.290612 -75.44 44.388359 78.0
2 21.233884 33.456137 91.790514 -66.08 45.863205 70.0
3 27.701846 36.722009 91.790514 -56.14 53.417791 70.0
4 45.420466 36.44641 92.250924 -36.54 49.862094 78.0
5 45.098669 39.552064 92.801503 -34.9 55.986695 80.0
6 65.542529 28.866063 92.250924 -8.7 45.130367 78.0
7 74.493487 26.582766 92.250924 7.74 42.985258 78.0
8 84.226731 12.334701 92.189365 25.26 31.089104 76.0
9 84.635914 14.478538 92.189365 29.34 30.737671 76.0
10 87.507248 11.051935 92.009013 47.7 31.375627 76.0
11 90.130193 5.203769 92.009013 62.02 21.053256 76.0
12 91.490612 0.0 91.490612 70.0 0.0 70
13 91.345707 1.549932 92.001503 69.18 8.005473 72.0
14 91.490612 0.0 91.490612 70.0 0.0 70
15 91.489779 0.005835 91.490612 70.0 0.0 70
16 91.231522 2.577911 91.490612 69.1 8.954887 70.0
17 91.490612 0.0 91.490612 70.0 0.0 70
18 91.490612 0.0 91.490612 70.0 0.0 70
19 91.490612 0.0 91.490612 70.0 0.0 70
20 91.490612 0.0 91.490612 70.0 0.0 70
