gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 0.990242 12.686248 56.742332 -92.7 13.845938 -30.0
1 2.496044 12.214206 47.742332 -91.2 13.287588 -40.0
2 4.42333 11.473216 39.171054 -89.5 12.599603 -50.0
3 9.309392 11.816804 39.171054 -84.1 12.89147 -50.0
4 16.28928 11.576655 56.879703 -76.5 12.678722 -30.0
5 18.837453 7.818443 38.862273 -73.9 8.354041 -50.0
6 19.710279 7.317332 30.182889 -73.0 7.81025 -60.0
7 21.575907 3.961176 30.454823 -71.0 4.123106 -60.0
8 22.121782 2.40943 22.581159 -70.5 2.598076 -70.0
9 21.861159 2.441639 22.581159 -70.8 2.712932 -70.0
10 21.951159 2.296323 22.581159 -70.7 2.55147 -70.0
11 22.401159 1.26 22.581159 -70.2 1.4 -70.0
12 22.221159 1.763633 22.581159 -70.4 1.959592 -70.0
13 21.951159 2.296323 22.581159 -70.7 2.55147 -70.0
14 22.299 1.607496 22.581159 -70.3 1.705872 -70.0
15 22.491159 0.895489 22.581159 -70.1 0.994987 -70.0
16 22.491159 0.895489 22.581159 -70.1 0.994987 -70.0
17 22.581159 0.0 22.581159 -70.0 0.0 -70.0
18 22.221159 1.763633 22.581159 -70.4 1.959592 -70.0
19 22.401159 1.26 22.581159 -70.2 1.4 -70.0
20 22.581159 0.0 22.581159 -70.0 0.0 -70.0
