gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 7.836608 18.739901 47.629888 -90.027835 31.53073 -22.382572
1 19.233848 22.409986 55.069502 -70.910789 37.452293 -9.31548
2 28.207207 21.200371 61.914189 -55.228069 34.990765 1.811614
3 32.838712 20.354064 61.914189 -47.601538 33.973519 1.811614
4 36.594084 20.135538 64.010116 -41.313032 33.786172 6.150704
5 39.379619 17.965052 64.010116 -36.731607 29.89446 6.150704
6 39.599163 21.540728 64.010116 -36.085546 36.137535 6.150704
7 42.178177 18.971969 64.010116 -31.430766 31.403731 6.150704
8 44.525043 19.448753 64.010116 -27.539498 32.357659 6.150704
9 46.305747 17.436507 64.010116 -24.88579 29.615268 6.150704
10 46.867867 18.369039 64.010116 -23.556994 31.074578 6.150704
11 50.081551 13.390861 64.010116 -18.102257 22.558772 6.150704
12 48.252463 18.078163 64.010116 -21.23604 30.887641 6.150704
13 46.5222 19.563586 64.010116 -24.053354 33.317399 6.150704
14 46.68075 18.815241 64.010116 -23.513325 31.723691 6.150704
15 50.132963 15.186905 64.010116 -17.709352 25.553438 6.150704
16 48.030337 19.125425 64.010116 -21.314424 32.712477 6.150704
17 44.46398 20.655705 64.010116 -27.186337 34.8812 6.150704
18 49.197547 16.452079 64.010116 -19.404793 28.167285 6.150704
19 48.23833 18.427961 64.010116 -21.046659 31.634667 6.150704
20 46.23892 18.455102 64.010116 -24.065302 31.113035 6.150704
21 46.135473 19.443683 64.010116 -24.330019 32.741703 6.150704
22 51.515252 15.539416 64.010116 -15.315885 26.875183 6.150704
23 52.551294 11.756274 64.010116 -13.507319 20.389118 6.150704
24 51.864417 15.840228 64.010116 -14.318191 26.637634 6.150704
25 49.041461 17.878922 64.010116 -19.360924 30.403019 6.150704
26 48.676305 20.366882 64.010116 -19.908431 34.559043 6.150704
27 50.622763 17.235075 64.010116 -16.408128 29.138639 6.150704
28 49.665266 18.421647 64.010116 -18.150526 31.163465 6.150704
29 53.712483 15.583076 64.010116 -11.341258 27.068415 6.150704
30 50.979101 17.031558 64.010116 -16.078825 29.016016 6.150704
