mean_fit std_fit max_fit mean_gain std_gain max_gain
-2.906978 8.149645 30.330119 -96.8 9.042124 -60.0
-1.854807 10.866364 65.583268 -95.6 12.1095 -20.0
0.107319 12.887671 65.583268 -93.45 14.3735 -20.0
1.754066 14.965139 65.583268 -91.65 16.666658 -20.0
3.454198 15.613219 65.583268 -89.8 17.376996 -20.0
4.289037 16.476794 65.583268 -88.85 18.335144 -20.0
6.618455 17.789783 65.583268 -86.26506 19.800867 -20.0
8.41888 19.679499 66.013548 -84.030769 21.842773 -20.0
10.598461 21.624274 94.818216 -80.961538 28.471282 100
9.23713 20.457063 94.818216 -82.45283 27.362394 100
11.660339 23.020324 94.818216 -79.69697 29.964779 100
10.695096 22.408499 94.818216 -80.8 29.382988 100
8.570203 23.2858 94.818216 -83.131313 30.339708 100
8.621564 24.009784 94.818216 -82.2 34.686597 100
3.975858 20.152463 94.818216 -88.247423 27.658086 100
4.411069 19.105246 94.818216 -87.777778 26.611897 100
4.242452 19.165323 94.818216 -87.1 31.025635 100
4.65669 20.421622 94.818216 -86.6 31.975616 100
4.931581 22.236116 94.852506 -86.3 33.426187 100
3.738123 22.451535 94.852506 -86.7 37.203629 100
