gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -5.473092 1.087571 0.890752 -96.8 10.943491 -30.0
1 -5.465887 0.864504 -1.986452 -97.2 8.61162 -60.0
2 -5.530183 0.955228 3.013548 -97.9 9.725739 -10.0
3 -5.562153 1.012834 3.013548 -98.2 10.332473 -10.0
4 -5.502425 0.668129 -0.986452 -97.7 7.050532 -50.0
5 -5.450708 0.51998 -3.036953 -97.6 4.498889 -80.0
6 -5.340016 0.545305 -3.934894 -96.6 4.943683 -80.0
7 -5.162897 0.646112 -3.198497 -95.2 5.564171 -80.0
8 -4.721555 0.653214 -2.997212 -91.6 5.425864 -80.0
9 -4.641451 0.513816 -3.013715 -91.2 4.955805 -70.0
10 -4.50238 0.266761 -3.013715 -90.0 2.44949 -70.0
11 -4.390181 0.389752 -2.969813 -89.2 4.4 -70.0
12 -4.227011 0.635183 -0.955837 -87.1 7.522633 -50.0
13 -4.303393 0.583101 -3.013715 -87.9 7.251896 -70.0
14 -4.11069 0.84958 0.279688 -85.9 10.20735 -40.0
15 -4.151873 0.753458 -0.231109 -86.0 9.273618 -50.0
16 -3.690573 0.863939 -0.231109 -78.6 11.226754 -50.0
17 -3.286844 0.802465 0.795993 -73.6 9.329523 -40.0
18 -3.020563 0.047935 -3.013715 -70.0 0.0 -70.0
19 -3.013715 0.0 -3.013715 -70.0 0.0 -70.0
20 -3.013715 0.0 -3.013715 -70.0 0.0 -70.0
