gen mean_fit std_fit max_fit
2 36.526616 38.55607 89.542666
3 57.026772 35.083382 89.542666
4 76.561641 24.66069 89.542666
5 74.025949 29.546264 89.542666
6 80.815727 21.676042 90.079688
7 85.947577 13.261652 90.079688
8 82.024018 20.067861 90.079688
9 78.944708 24.185723 90.079688
10 89.1685 6.133982 90.079688
11 89.909182 0.592575 90.079688
12 87.338714 9.555794 90.079688
13 89.674816 3.731086 90.079688
14 88.793004 7.32626 90.079688
15 88.102894 8.901451 90.079688
16 89.555166 4.538324 90.079688
17 90.031855 0.374281 90.079688
18 89.888671 0.730073 90.079688
19 89.936924 0.635088 90.079688
20 89.269771 5.826194 90.079688
