gen mean_fit std_fit max_fit
2 39.646986 41.213792 93.147511
3 59.860198 38.304695 93.430924
4 78.124168 26.831592 93.430924
5 78.325131 29.601585 93.430924
6 83.188041 24.8896 93.430924
7 85.246805 22.142835 93.430924
8 84.620451 24.259523 93.85505
9 82.307972 27.051599 93.85505
10 83.387281 26.584423 93.85505
11 91.734246 7.69057 93.85505
12 92.435601 1.281886 93.978708
13 93.049629 0.696007 94.171733
14 93.376596 0.482961 94.171733
15 93.544421 0.448766 94.171733
16 93.699784 0.424596 94.179644
17 93.735512 0.488172 94.179644
18 93.782723 0.507209 94.231733
19 93.771134 0.54267 94.231733
20 93.803359 0.495733 94.231733
