gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 9.097303 33.695646 115.490612 -82.98 40.322197 70
1 22.694861 40.579671 118.53194 -67.36 50.645339 80
2 22.079974 37.905406 115.490612 -69.68 44.192054 70
3 25.522502 39.621484 119.13194 -65.44 47.370945 82
4 35.4524 34.161562 115.490612 -57.18 38.315631 70
5 49.002628 33.966201 118.93704 -40.34 44.693673 82
6 65.669787 32.891024 119.04704 -17.9 49.659138 82
7 78.910853 38.769761 119.090612 6.76 60.674067 82
8 83.374702 42.592581 119.090612 17.32 64.93518 82
9 86.653206 42.323988 119.04704 22.62 64.15587 82
10 84.220226 42.036412 119.04704 19.1 64.757625 82
11 91.103983 38.28195 119.04704 29.36 60.495871 82
12 94.138283 33.343488 119.04704 33.02 55.545653 82
13 99.687769 31.982411 119.04704 43.68 51.521429 82
14 93.066086 41.64876 115.490612 35.38 61.785885 70
15 109.18266 22.804368 115.490612 59.78 35.490726 70
16 109.343777 17.935836 115.490612 58.48 32.959515 70
17 114.400909 7.924822 119.090612 68.02 14.782408 82
18 112.32717 14.863857 115.490612 64.4 25.032779 70
19 113.33936 10.574511 115.490612 65.9 20.104477 70
20 112.739605 13.942106 115.490612 65.3 23.300429 70
