gen mean_fit std_fit max_fit
2 27.920823 39.591033 90.679688
3 51.044769 38.409851 90.679688
4 66.490882 33.670767 90.679688
5 76.219087 27.634142 90.856415
6 75.241117 28.282077 90.856415
7 77.779247 24.858958 90.856415
8 77.189915 28.953479 90.95642
9 83.778881 18.248436 90.95642
10 85.476517 15.57437 90.95642
11 84.383683 18.006559 90.95642
12 85.311419 16.920305 90.95642
13 85.248991 16.989224 90.95642
14 85.377941 17.449684 90.95642
15 82.672251 20.815286 90.95642
16 81.259575 23.190043 90.95642
17 85.602884 16.43462 90.95642
18 84.534453 18.135242 90.95642
19 85.081694 17.945614 90.95642
20 83.076923 20.091753 90.95642
