gen mean_fit std_fit max_fit
2 37.402552 30.895825 87.632892
3 62.800074 16.684563 89.903414
4 72.54398 11.410246 90.388142
5 78.033271 13.306082 90.752892
6 84.914945 9.326761 90.752892
7 88.205925 4.544995 91.168142
8 88.910265 3.499912 91.408142
9 89.938876 1.0078 91.468142
10 90.187147 1.092095 91.528142
11 90.329741 1.309609 91.528142
12 90.746996 1.040547 91.768142
13 90.897972 0.88267 91.768142
14 91.087531 0.941351 91.768142
15 91.245993 0.951422 91.888142
16 91.379425 0.802145 91.888142
17 91.465611 0.850107 91.888142
18 91.490584 0.953357 91.948142
19 91.635733 0.477587 91.948142
20 91.574251 0.679603 91.948142
