gen mean_fit std_fit max_fit
2 22.611239 32.763446 90.832379
3 39.914667 34.553889 90.892379
4 55.565124 35.022462 90.892379
5 83.859621 15.129819 90.952379
6 86.537272 16.417842 91.731655
7 84.310734 20.031529 91.731655
8 88.837252 11.042303 91.825289
9 84.40324 19.820412 91.825289
10 82.502306 22.511575 92.005289
11 81.207233 23.467305 92.005289
12 82.634625 21.637917 92.005289
13 90.650904 6.30902 92.005289
14 91.533405 0.657106 92.061578
15 90.019169 9.220809 92.061578
16 91.622512 0.922243 92.061578
17 90.51996 8.801374 92.061578
18 91.265781 4.78541 92.061578
19 91.284438 7.912851 92.061578
20 90.302627 7.674172 92.061578
