gen mean_fit std_fit max_fit
2 -1.596783 2.766136 3.273152
3 -0.032005 2.700772 3.273152
4 1.014137 2.722069 3.276415
5 1.37504 4.109489 33.632892
6 2.492588 4.379111 33.632892
7 3.794579 5.890083 33.632892
8 6.305935 8.563324 34.712892
9 13.634955 12.241192 34.712892
10 20.790397 11.125183 35.252892
11 27.515943 8.078859 35.252892
12 28.820675 7.753975 35.252892
13 29.23749 8.392178 35.252892
14 30.180919 6.870165 35.252892
15 29.574764 7.854272 35.252892
16 30.886812 6.620591 35.252892
17 30.02905 8.796046 35.252892
18 30.628259 8.095359 35.252892
19 30.766728 8.012562 35.252892
20 30.065371 9.144735 35.252892
