gen mean_fit std_fit max_fit
2 54.051575 39.929981 93.592506
3 73.471412 30.034259 93.946708
4 78.480864 30.407347 93.958336
5 86.790697 19.470198 93.958336
6 90.352965 13.529395 94.043754
7 90.317433 14.848158 94.103754
8 90.844463 15.544326 94.176575
9 93.679827 0.286212 94.176575
10 93.722151 0.352467 94.176575
11 92.577694 11.152341 94.176575
12 93.968018 0.263762 94.176575
13 94.051444 0.254213 94.176575
14 94.041976 0.271014 94.176575
15 94.0904 0.21193 94.176575
16 94.112253 0.196334 94.176575
17 94.060718 0.320721 94.176575
18 94.068581 0.305801 94.176575
19 94.022173 0.36194 94.176575
20 94.064713 0.305946 94.176575
