gen mean_fit std_fit max_fit
2 35.26863 31.799445 89.012892
3 50.651834 24.973292 89.012892
4 56.809788 24.483145 89.012892
5 61.812774 23.493131 89.526794
6 67.311137 24.374569 89.651732
7 73.59607 23.517547 89.651732
8 79.445084 17.021294 89.651732
9 79.394159 19.826602 89.651732
10 80.973046 20.418656 89.651732
11 82.632183 18.077549 89.651732
12 82.435948 17.800345 89.651732
13 83.556548 16.877375 89.651732
14 82.938793 17.320632 89.651732
15 83.839999 13.963381 89.889362
16 84.009083 16.072513 89.889362
17 86.340964 8.839359 89.889362
18 83.720831 18.810476 91.588142
19 86.982263 7.856733 91.588142
20 87.075564 6.691325 91.588142
