gen mean_fit std_fit max_fit
2 19.948842 35.368475 92.394865
3 24.81157 36.921209 92.394865
4 29.118614 37.991821 92.394865
5 32.941858 38.789333 92.394865
6 39.164762 39.409596 92.394865
7 47.543546 39.903122 92.394865
8 52.635745 38.712622 92.394865
9 57.708677 37.55334 92.394865
10 64.743291 34.862061 92.394865
11 70.996971 30.507683 92.394865
12 73.818632 29.757533 92.394865
13 81.457051 21.16766 92.394865
14 82.520839 23.39478 92.394865
15 87.855542 14.066049 92.394865
16 88.877449 9.392307 92.394865
17 88.775197 11.517135 92.394865
18 88.218538 14.264734 92.394865
19 87.692439 14.125112 92.394865
20 90.920506 0.529431 92.394865
