mean_fit std_fit max_fit mean_gain std_gain max_gain
1.915535 13.119831 47.877507 -91.5 14.448183 -40.0
2.431135 14.13617 65.742332 -90.95 15.60761 -20.0
5.187452 15.844395 65.742332 -88.0 17.578396 -20.0
8.157855 17.87213 65.742332 -84.75 19.898178 -20.0
10.090988 18.907906 75.031292 -82.65 21.058905 -10.0
11.410031 19.167788 75.031292 -81.15 21.311441 -10.0
11.878159 19.863804 75.031292 -80.617978 22.137469 -10.0
12.370365 19.620926 75.031292 -80.063291 21.830673 -10.0
12.156448 19.299778 75.031292 -80.296296 21.531742 -10.0
13.130258 19.254127 75.031292 -79.230769 21.424838 -10.0
14.422663 19.460872 66.033853 -77.788462 21.615376 -20.0
9.749671 19.193359 66.033853 -82.929293 21.332032 -20.0
13.465788 21.176446 85.957367 -78.709677 24.328655 20
10.61453 21.732207 85.957367 -81.752577 24.829742 20
11.057579 21.112607 85.957367 -81.354167 24.222054 20
10.04972 22.570285 88.567552 -82.12 27.556226 48
10.700655 23.845238 88.567552 -81.232323 28.908364 48
8.287078 22.191546 88.567552 -84.02 27.215429 48
7.736233 20.507938 88.567552 -84.82 24.851712 48
5.554425 18.47382 88.567552 -87.346535 22.784586 48
