gen mean_fit std_fit max_fit
2 11.244505 28.604391 86.256168
3 16.219292 30.695576 86.256168
4 19.057423 31.560891 86.256168
5 27.409286 33.247285 86.256168
6 34.901539 32.574973 86.256168
7 41.31849 31.050796 86.256168
8 47.646803 28.327645 88.786372
9 52.883128 24.461584 88.786372
10 58.917941 19.111142 88.881683
11 63.440245 15.040697 88.886695
12 65.964579 16.114608 88.886695
13 69.411645 11.526048 88.891733
14 71.207468 12.340633 88.896796
15 70.775246 17.191259 88.896796
16 75.08102 10.14113 88.896796
17 76.653301 9.964982 88.896796
18 78.183663 12.018928 88.896796
19 81.041009 9.013884 89.055203
20 83.665135 7.378171 90.386695
