gen mean_fit std_fit max_fit
2 10.96508 18.04182 63.841106
3 21.456594 18.247552 63.841106
4 30.175793 17.134338 75.847727
5 35.234087 20.593801 75.847727
6 45.508825 21.965872 75.847727
7 59.72034 20.524269 75.847727
8 66.085339 22.581891 75.847727
9 66.508039 25.219547 75.847727
10 68.220506 22.83 75.847727
11 70.74922 18.955619 75.847727
12 71.23113 17.862732 75.847727
13 67.511756 23.608578 75.847727
14 71.236761 17.842096 75.847727
15 68.264031 22.789154 75.847727
16 70.95982 17.9606 75.847727
17 68.974784 21.107177 75.847727
18 69.45642 21.016933 75.847727
19 65.775697 25.869004 75.847727
20 70.088713 20.063683 75.847727
