gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 1.704177 18.963549 87.139358 -90.808 25.49301 29.8
1 21.048184 36.039163 90.793561 -64.474 51.441498 66.4
2 17.057127 28.740186 90.25704 -71.246 41.119609 59.8
3 31.593977 33.249209 90.25704 -51.664 49.021333 59.8
4 41.323163 33.202577 90.25704 -37.91 50.283471 59.8
5 49.594322 32.727593 90.25704 -24.512 53.148097 59.8
6 58.480547 32.604993 90.25704 -12.042 51.675436 59.8
7 76.68229 25.241797 92.523229 17.36 40.815027 81.4
8 79.236144 24.066709 90.25704 21.582 37.838944 59.2
9 80.826631 21.513389 90.653025 25.62 35.786115 63.4
10 76.900084 26.152719 90.25704 20.732 43.40673 59.2
11 79.548516 26.577129 90.25704 32.26 45.140328 59.2
12 85.487539 15.260611 90.25704 41.874 30.360417 59.2
13 88.326576 11.542777 90.25704 53.706 21.642762 59.2
14 90.25704 0.0 90.25704 59.2 0.0 59.2
15 90.25704 0.0 90.25704 59.2 0.0 59.2
16 90.25704 0.0 90.25704 59.2 0.0 59.2
17 90.25704 0.0 90.25704 59.2 0.0 59.2
18 90.25704 0.0 90.25704 59.2 0.0 59.2
19 90.25704 0.0 90.25704 59.2 0.0 59.2
20 90.25704 0.0 90.25704 59.2 0.0 59.2
