gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -2.549333 8.589157 39.013548 -96.4 9.541488 -50.0
1 0.883019 12.42674 39.142067 -92.6 13.828955 -50.0
2 3.939673 14.091435 39.250607 -89.2 15.663971 -50.0
3 6.563055 14.636182 57.2699 -86.3 16.288339 -30.0
4 14.028006 15.046405 39.256997 -78.0 16.792856 -50.0
5 16.611109 14.352859 57.2699 -75.1 16.030908 -30.0
6 19.665067 15.21079 57.2699 -71.7 16.973803 -30.0
7 22.809342 14.665248 57.2699 -68.2 16.332789 -30.0
8 29.347228 16.391731 57.2699 -60.9 18.280864 -30.0
9 27.048673 17.383951 57.2699 -63.5 19.358461 -30.0
10 32.759973 13.767108 57.2699 -57.1 15.381482 -30.0
11 33.990602 14.323246 48.100103 -55.7 16.01593 -40.0
12 35.526774 13.677547 48.250607 -54.0 15.297059 -40.0
13 36.789796 13.425461 48.2699 -52.6 15.007998 -40.0
14 37.748228 12.866368 56.659641 -51.5 14.378804 -30.0
15 39.449403 12.061675 56.59312 -49.6 13.484806 -30.0
16 42.667975 12.2872 65.950267 -46.0 13.711309 -20.0
17 47.671586 3.331124 65.950267 -40.4 3.720215 -20.0
18 48.484483 3.185082 65.950267 -39.5 3.570714 -20.0
19 48.486578 4.094749 65.950267 -39.5 4.555217 -20.0
20 49.573154 6.089034 65.950267 -38.3 6.790434 -20.0
