gen mean_fit std_fit max_fit
2 18.49481 29.069149 89.390612
3 28.315224 30.285088 89.390612
4 39.525846 32.475787 91.192379
5 49.420143 33.415528 92.843414
6 58.569546 33.68046 92.843414
7 64.61317 35.000647 92.843414
8 69.700211 33.176606 92.843414
9 69.883345 35.173932 92.843414
10 71.548404 31.845474 92.843414
11 70.486248 33.36378 92.843414
12 71.555543 31.837204 92.843414
13 70.853736 32.977542 92.843414
14 69.213934 35.549937 92.843414
15 73.875405 30.206101 92.843414
16 74.510914 30.369982 92.843414
17 73.030274 32.597635 92.843414
18 77.403992 28.764534 92.843414
19 75.970306 31.661525 92.843414
20 72.073843 34.943556 92.843414
