gen mean_fit std_fit max_fit
2 12.970328 30.806269 89.58704
3 19.761601 34.910725 89.58704
4 25.966921 36.823942 89.58704
5 30.575774 36.460658 89.58704
6 36.458797 37.527571 89.58704
7 41.930414 36.030001 89.58704
8 48.478558 34.801916 89.58704
9 55.119016 32.593738 89.58704
10 58.918108 31.883964 89.58704
11 67.640463 28.400094 89.58704
12 71.407269 28.20403 89.58704
13 76.704038 23.482537 89.58704
14 82.005466 17.20737 89.58704
15 87.108072 9.343282 89.58704
16 89.093882 0.768433 89.58704
17 87.227173 13.773786 89.58704
18 86.32352 16.078624 89.58704
19 86.1466 17.006903 89.58704
20 88.380699 9.335704 89.58704
