gen mean_fit std_fit max_fit
2 33.131898 33.416488 89.431733
3 52.063738 28.403461 89.431733
4 67.363107 22.403565 89.431733
5 73.802266 23.029323 89.431733
6 82.03356 16.858081 89.486695
7 88.548377 2.413434 89.492892
8 89.015881 2.368064 89.492892
9 88.471768 3.392734 89.611733
10 88.261346 4.227573 89.671733
11 88.770967 3.349232 89.676796
12 88.941296 2.740838 89.676796
13 89.347786 1.300175 89.676796
14 88.904377 2.534893 89.676796
15 89.226752 1.425631 89.676796
16 89.416481 0.576967 89.676796
17 89.366724 0.704456 89.676796
18 89.283195 1.426146 89.676796
19 88.961901 2.555363 89.676796
20 89.416069 0.710656 89.676796
