gen mean_fit std_fit max_fit
2 40.971356 33.841654 94.089365
3 54.812775 31.617769 94.089365
4 59.954711 32.548959 94.089365
5 72.028594 24.115587 94.089365
6 80.368558 23.769159 94.089365
7 91.73825 5.936784 94.089365
8 93.637311 2.882765 94.089365
9 93.047637 5.860208 94.089365
10 92.163383 8.566645 94.089365
11 93.486423 3.316178 94.089365
12 93.643794 3.67552 94.089365
13 92.897004 5.740539 94.089365
14 93.866478 2.481958 94.089365
15 92.157153 7.42818 94.089365
16 92.057654 6.013623 94.089365
17 92.529841 6.602791 94.089365
18 93.198576 5.281417 94.089365
19 93.643818 3.674784 94.089365
20 93.349209 4.899385 94.089365
