gen mean_fit std_fit max_fit
2 34.766058 33.831713 89.04188
3 55.78518 28.86416 89.393263
4 75.661012 13.513846 90.376695
5 80.706895 17.785066 90.632828
6 87.888084 7.232152 90.632828
7 89.35677 1.165363 90.632828
8 89.972022 0.850686 90.632828
9 90.29665 0.556416 91.526695
10 90.444935 0.766026 91.826695
11 90.84889 0.575324 91.826695
12 91.315143 0.353076 91.826695
13 91.532426 0.302617 91.881683
14 91.702564 0.18928 91.881683
15 91.71827 0.377786 91.881683
16 91.8154 0.192232 91.941683
17 91.83078 0.186389 91.941683
18 91.855785 0.083137 91.941683
19 91.860116 0.150629 91.941683
20 91.727358 1.512086 91.946695
