gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 10.732243 16.461148 59.364802 -82.405105 26.866097 -2.962581
1 19.479208 19.02549 59.986821 -68.096331 30.996717 -2.281258
2 25.727455 20.424461 59.986821 -58.230096 33.10231 -2.141265
3 33.335215 20.152802 59.986821 -46.01634 32.62412 -2.141265
4 42.037468 16.427924 59.986821 -31.847631 26.575632 -0.732051
5 47.059689 10.919076 59.986821 -24.05454 17.773174 -0.732051
6 48.934026 10.434041 62.041922 -20.357496 16.959094 2.427136
7 45.496001 15.669132 62.041922 -25.753904 25.437328 2.427136
8 48.241825 14.219338 62.041922 -21.31672 23.219821 2.427136
9 44.770349 16.93411 62.041922 -26.968905 27.675676 2.427136
10 45.800422 14.999296 62.041922 -25.538872 24.664015 2.427136
11 45.222146 15.90804 65.923161 -26.595492 26.106487 8.433316
12 46.053052 15.383825 65.923161 -25.076556 25.398105 8.433316
13 48.525307 15.946649 65.923161 -20.669218 26.174758 8.433316
14 42.302772 20.016395 65.923161 -30.896633 32.686516 8.433316
15 44.929889 16.814362 65.923161 -26.862245 27.648564 8.433316
16 45.133894 17.498853 65.923161 -26.645957 28.815026 8.433316
17 43.564469 19.013993 65.923161 -28.648039 31.19088 8.433316
18 49.284637 12.877875 65.923161 -19.715158 21.475299 8.433316
19 46.490581 16.611326 65.923161 -23.911126 27.210018 8.433316
20 44.193658 17.792366 65.923161 -27.492256 29.143898 8.433316
21 47.999763 16.203773 65.923161 -21.662564 26.624859 8.433316
22 48.069378 15.322069 65.923161 -21.653031 25.39013 8.433316
23 49.202439 13.633061 65.923161 -19.592302 22.582527 8.433316
24 45.88271 19.166196 71.84683 -24.850311 31.441485 21.381503
25 46.443736 17.356913 71.84683 -24.080154 28.575546 21.381503
26 46.733286 16.209351 71.84683 -23.683708 26.632267 21.381503
27 46.879557 18.62357 71.84683 -23.047043 30.561585 21.381503
28 45.704528 17.244334 71.84683 -25.311549 28.438047 21.381503
29 46.65585 18.34922 71.84683 -23.699994 30.245026 21.381503
30 45.348811 17.914786 71.84683 -25.746103 29.377679 21.381503
