gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 7.623448 19.413483 53.871687 -90.640618 32.644201 -13.436015
1 20.553983 20.287022 53.871687 -68.358078 33.492783 -13.436015
2 30.707746 20.363116 53.871687 -51.736597 34.242352 -13.436015
3 33.431884 20.803532 53.871687 -46.897829 34.688972 -13.436015
4 30.341439 22.568797 60.209753 -52.051404 37.698439 0.019205
5 37.480725 18.103019 60.209753 -40.256544 30.18721 0.019205
6 40.302352 18.803693 62.917899 -35.014721 31.201627 4.644509
7 43.905609 19.040004 62.917899 -28.82637 31.910215 4.644509
8 49.257946 17.170507 62.917899 -19.617245 28.974105 4.644509
9 54.402087 9.736631 62.917899 -10.783299 16.935036 4.644509
10 49.921569 17.90463 62.917899 -18.362257 30.510026 4.644509
11 54.533158 14.219558 62.917899 -10.385045 24.706798 4.644509
12 53.105675 13.660087 63.556487 -12.938543 23.443094 5.520045
13 56.308958 10.124054 63.556487 -7.279026 17.558054 5.520045
14 53.359385 15.720759 63.556487 -12.169096 26.948512 5.520045
15 50.678592 20.633637 63.556487 -16.155232 34.449494 5.520045
16 53.779176 18.96691 63.556487 -10.794136 31.547034 5.520045
17 55.959339 16.850327 63.556487 -7.209666 28.294719 5.520045
18 52.576185 19.850365 63.556487 -12.921718 33.133788 5.520045
19 50.376746 22.199187 63.556487 -16.52272 36.933409 5.520045
20 54.920588 16.966609 63.556487 -9.008749 28.219546 5.520045
