gen mean_fit std_fit max_fit
2 12.197768 29.016947 86.312892
3 16.385267 31.430468 86.312892
4 23.292398 33.5018 86.312892
5 32.23932 35.002563 87.152892
6 40.520063 33.748927 87.152892
7 50.518765 32.092531 87.392892
8 60.002883 26.653553 88.712892
9 69.323915 16.755608 89.132892
10 73.432584 10.627503 89.132892
11 75.06918 9.960475 89.132892
12 77.824242 8.965524 89.132892
13 79.772633 8.440411 89.252892
14 81.699084 7.440375 89.252892
15 84.164514 5.137143 89.252892
16 85.076957 4.953077 89.252892
17 86.727938 2.369191 89.252892
18 86.240326 4.600303 89.252892
19 87.109383 2.52716 89.252892
20 87.299291 2.540498 89.252892
