gen mean_fit std_fit max_fit
2 44.601504 35.162782 94.089365
3 66.138012 26.688173 94.089365
4 74.774382 24.729241 94.089365
5 88.324435 10.568878 94.089365
6 90.525112 11.310769 94.089365
7 91.272881 9.893525 94.089365
8 90.680492 10.322064 94.089365
9 91.790728 8.547369 94.089365
10 92.1576 7.340934 94.089365
11 91.084396 11.845015 94.089365
12 91.801347 9.341709 94.180019
13 91.076098 11.285792 94.180019
14 92.794517 7.411375 94.180019
15 91.880912 11.410804 94.180019
16 92.051192 5.964461 94.180019
17 91.107086 13.264101 94.180019
18 90.722841 8.944534 94.180019
19 93.113441 4.347625 94.180019
20 90.70972 12.534787 94.180019
