gen mean_fit std_fit max_fit
2 46.171912 43.077168 92.899361
3 68.865448 35.759418 93.41699
4 82.130589 28.064752 93.811733
5 87.007417 21.441002 93.811733
6 91.368916 11.577033 93.991733
7 93.168896 0.428787 93.991733
8 93.151695 3.694363 93.991733
9 93.179238 6.856921 94.005064
10 93.850378 0.347334 94.066708
11 90.60598 14.889486 94.066708
12 88.263102 19.768406 94.066708
13 88.133032 19.819459 94.066708
14 91.806396 11.03079 94.066708
15 92.995019 6.154197 94.066708
16 93.706961 0.685904 94.066708
17 93.57729 2.422563 94.066708
18 93.911488 0.349577 94.126708
19 93.889412 0.392099 94.126708
20 93.882652 0.415682 94.126708
