gen mean_fit std_fit max_fit
2 11.198105 30.426523 89.539688
3 14.065969 32.168061 89.539688
4 18.498884 34.198646 89.539688
5 19.438864 33.835114 89.539688
6 24.594999 35.053002 89.539688
7 29.845438 35.762859 89.539688
8 34.242074 35.706586 89.539688
9 37.787718 35.167478 89.539688
10 44.43394 35.093878 89.539688
11 49.451634 34.837307 89.539688
12 56.025278 33.763419 89.539688
13 61.301991 32.295623 89.539688
14 64.725371 30.900963 89.539688
15 67.051011 30.105274 89.539688
16 68.548605 30.668604 89.539688
17 72.954756 27.341864 89.539688
18 77.44914 22.387001 89.539688
19 81.738664 18.656914 89.539688
20 84.305434 15.04772 89.539688
