gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -1.88151 10.369886 53.490612 -78.34 40.544351 70
1 -0.58315 13.494988 57.650924 -75.24 45.595421 76
2 4.077887 16.514145 55.389365 -54.38 54.559102 72
3 11.997401 20.378992 64.650924 -26.32 62.169909 86
4 15.70225 21.858503 64.650924 -8.52 54.765405 86
5 28.625597 24.630823 64.650924 19.1 55.408573 86
6 28.239047 25.175696 64.650924 18.62 56.91727 86
7 31.037942 26.596544 64.650924 20.44 61.627643 86
8 33.621801 23.692172 64.650924 30.7 51.122109 86
9 40.82719 19.911921 59.596054 46.22 41.056931 78
10 49.341048 14.30729 57.64704 61.16 29.882677 76
11 46.1436 18.114745 58.196054 55.16 36.188595 76
12 45.327297 19.1879 57.650924 52.66 41.214614 76
13 47.268988 16.14606 53.98272 58.16 31.162388 70
14 45.177401 18.656613 57.650924 52.56 39.752313 76
15 52.4405 6.716391 59.04704 67.6 12.345039 78
16 52.534853 8.156399 58.196054 67.34 16.025118 76
17 53.983632 1.518438 59.050924 70.02 2.144668 78
18 54.446641 1.318191 58.196054 70.66 1.877339 76
19 55.094609 1.834784 58.196054 71.58 2.612202 76
20 56.027344 2.038033 59.596054 72.9 2.903446 78
