gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 8.130956 24.696177 78.890612 -68.9 52.813161 74
1 19.098809 32.201353 82.44704 -45.72 67.120203 80
2 26.395222 33.084511 81.532142 -29.78 68.617138 78
3 40.500067 32.425862 86.13194 0.12 65.715642 86
4 43.365512 31.147126 86.13194 6.56 62.1341 86
5 47.484052 32.298333 86.13194 13.84 64.525145 86
6 45.815375 29.795772 86.13194 11.9 59.65526 86
7 49.885443 30.645843 86.13194 19.06 60.53591 86
8 50.227982 31.345905 86.13194 19.46 61.623927 86
9 50.312912 32.151893 86.13194 19.4 62.800955 86
10 57.466543 30.021003 86.13194 33.46 57.755938 86
11 63.354873 30.724824 86.13194 43.96 58.806789 86
12 75.740794 22.201392 86.17505 67.3 40.885572 86
13 79.532058 17.625192 86.17505 74.3 31.675069 86
14 86.053673 0.852556 86.17505 85.86 1.392982 86
15 86.137544 0.014498 86.17505 86.0 0.0 86
16 86.134095 0.009396 86.17505 86.0 0.0 86
17 86.136682 0.013489 86.17505 86.0 0.0 86
18 86.144873 0.019756 86.17505 86.0 0.0 86
19 86.153926 0.021551 86.17505 86.0 0.0 86
20 86.159961 0.020562 86.17505 86.0 0.0 86
