gen mean_fit std_fit max_fit
2 41.038222 42.285517 93.263536
3 59.673538 39.737567 93.263536
4 77.303862 29.580396 93.263536
5 81.667908 27.709845 93.859465
6 86.392238 23.035844 93.859465
7 90.011022 16.136335 93.9839
8 90.979821 12.555026 93.9839
9 93.325552 0.67861 93.9839
10 93.476941 0.552779 93.9839
11 93.641141 0.624059 93.9839
12 92.505082 10.745537 93.9839
13 90.78029 16.759709 93.9839
14 89.244999 20.14893 94.061885
15 88.898792 21.218935 94.061885
16 90.126955 18.75331 94.135993
17 90.242334 18.221458 94.135993
18 91.836721 12.922245 94.135993
19 83.268602 29.879097 94.135993
20 84.917155 27.264422 94.135993
