gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -0.942299 9.329168 21.732142 -94.8 10.342147 -70.0
1 0.436997 10.59248 30.351026 -93.16 12.073707 -60.0
2 3.762389 11.454467 21.943754 -89.22 13.111506 -66.0
3 6.134724 11.649661 30.68188 -87.096 13.142617 -60.0
4 11.627543 12.087402 39.188859 -81.2 13.511477 -50.0
5 11.189382 13.057469 39.219256 -81.7 14.563997 -50.0
6 13.983485 14.693988 30.68188 -78.5 16.393596 -60.0
7 16.808566 15.104359 30.68188 -75.4 16.817848 -60.0
8 24.098109 10.460968 30.68188 -67.3 11.649464 -60.0
9 25.438487 10.648291 48.091917 -65.8 11.847363 -40.0
10 31.726482 4.134655 48.091917 -58.8 4.749737 -40.0
11 32.070641 5.190177 48.091917 -58.4 5.95315 -40.0
12 34.856237 7.742029 48.091917 -55.2 8.885944 -40.0
13 35.726143 8.287541 48.091917 -54.2 9.505788 -40.0
14 39.627758 10.025032 48.091917 -49.7 11.441591 -40.0
15 44.346266 6.884278 48.091917 -44.3 7.906327 -40.0
16 47.395516 3.411657 48.091917 -40.8 3.919184 -40.0
17 48.091917 0.0 48.091917 -40.0 0.0 -40.0
18 48.091917 0.0 48.091917 -40.0 0.0 -40.0
19 48.091917 0.0 48.091917 -40.0 0.0 -40.0
20 48.091917 0.0 48.091917 -40.0 0.0 -40.0
