gen mean_fit std_fit max_fit
2 37.539345 40.143674 91.399256
3 51.132101 38.494766 91.399256
4 68.329642 33.499667 91.399256
5 74.227243 29.253155 91.399256
6 79.518806 25.846086 91.836954
7 87.774137 11.357663 91.986677
8 90.049092 6.815424 91.986677
9 88.975712 9.315907 91.986677
10 90.156469 6.81342 92.103246
11 90.605228 5.457097 92.103246
12 90.630487 6.807092 92.103246
13 91.449281 4.233541 92.103246
14 91.129838 6.155354 92.103246
15 91.830962 0.848278 92.103246
16 90.676232 7.404052 92.103246
17 90.81469 6.417156 92.103246
18 90.003242 8.923847 92.103246
19 91.145754 5.584474 92.152379
20 90.053973 7.817706 92.152379
