gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -4.086153 5.343748 21.2699 -98.1 5.948949 -70.0
1 -2.374711 8.682594 39.013548 -96.2 9.672642 -50.0
2 -3.769175 7.129255 30.023649 -97.8 7.947327 -60.0
3 -4.281057 5.765541 30.023649 -98.4 6.437391 -60.0
4 -3.076023 7.842189 39.013548 -97.0 8.774964 -50.0
5 -1.904263 7.780221 39.013548 -95.7 8.746999 -50.0
6 0.56144 11.64519 56.197605 -93.0 13.076697 -30.0
7 1.682217 15.968602 104.785064 -91.1 23.575199 100
8 -2.251161 11.019093 66.266659 -96.4 12.370934 -20.0
9 4.905654 19.985575 93.648899 -87.82 25.112698 52
10 13.200042 24.135065 93.648899 -78.78 28.770673 52
11 19.538605 23.815392 48.2699 -71.74 26.924569 -34.0
12 25.332453 25.506981 104.852506 -64.8 31.795597 100
13 35.159159 23.82647 104.785064 -53.8 29.724737 100
14 46.16286 13.574231 66.266659 -42.4 15.304901 -20.0
15 52.409155 7.573621 66.266659 -35.4 8.41665 -20.0
16 54.748733 8.638444 66.266659 -32.8 9.6 -20.0
17 58.168117 8.953274 66.266659 -29.0 9.949874 -20.0
18 65.366821 3.922303 66.266659 -21.0 4.358899 -20.0
19 66.266659 0.0 66.266659 -20.0 0.0 -20.0
20 66.266659 0.0 66.266659 -20.0 0.0 -20.0
