gen mean_fit std_fit max_fit
2 20.803761 29.478263 90.019688
3 33.642145 30.627613 90.199688
4 49.405381 27.874003 90.199688
5 63.13969 24.517759 90.199688
6 70.981304 18.557465 90.199688
7 75.896824 15.65558 90.199688
8 77.59613 18.376363 90.199688
9 80.648055 16.742466 90.199688
10 79.399848 19.728404 92.119688
11 80.84225 21.304437 92.119688
12 80.93523 20.481548 92.119688
13 78.717852 23.725007 92.119688
14 80.098538 21.584235 92.119688
15 80.469871 22.609009 92.899688
16 78.503792 24.529638 92.899688
17 84.668192 18.100862 92.899688
18 81.253522 22.214679 92.899688
19 83.466162 19.736777 92.899688
20 82.650504 21.064352 92.899688
