gen mean_fit std_fit max_fit
2 24.668746 35.480767 91.166267
3 35.8854 35.949922 91.166267
4 48.589322 36.573446 91.166267
5 64.892293 33.093497 91.166267
6 67.210743 35.753907 91.166267
7 72.908139 32.548101 91.166267
8 82.181465 26.233895 91.166267
9 82.998293 24.398733 91.166267
10 82.734811 24.991628 91.166267
11 83.070093 24.164733 91.166267
12 77.560534 31.699804 91.166267
13 72.885163 35.198925 91.166267
14 71.720013 32.494224 91.226267
15 77.992817 25.076348 91.226267
16 80.853339 22.84732 91.406267
17 83.910301 18.623887 91.406267
18 81.135174 21.31991 91.406267
19 81.171148 21.964093 91.406267
20 79.74546 23.584071 91.406267
