gen mean_fit std_fit max_fit
2 1.720628 13.694961 59.739724
3 7.398739 17.671724 66.003798
4 15.409319 20.886633 66.003798
5 34.244027 19.858249 69.789203
6 49.586141 10.623084 70.329203
7 56.772746 8.681829 70.329203
8 61.561287 8.401424 70.329203
9 64.192822 8.310588 70.329203
10 67.297412 8.045954 70.329203
11 66.256472 9.469276 70.329203
12 64.862692 12.660148 70.329203
13 66.542061 9.724854 70.329203
14 66.798066 7.919418 70.329203
15 66.192323 11.387592 70.329203
16 65.745572 9.095231 70.329203
17 66.338149 9.661714 70.329203
18 66.476251 9.162681 70.329203
19 66.089678 9.193517 70.329203
20 66.510889 8.92594 70.329203
