gen mean_fit std_fit max_fit
2 30.761627 31.860027 75.296218
3 47.836524 30.155327 94.180019
4 61.993522 26.187115 94.180019
5 60.864516 30.855497 94.180019
6 67.228815 23.718732 94.180019
7 63.680857 28.620593 94.180019
8 64.492891 29.939 94.180019
9 68.810267 29.840272 94.180019
10 75.933455 26.280293 94.180019
11 86.938984 9.741245 94.180019
12 91.301999 6.797834 94.180019
13 91.618598 7.257588 94.180019
14 90.792036 8.079175 94.180019
15 91.605922 6.488026 94.180019
16 90.934975 7.628986 94.180019
17 91.606183 6.487365 94.180019
18 91.309306 7.17166 94.180019
19 90.943108 8.125475 94.180019
20 91.302638 6.796318 94.180019
