gen mean_fit std_fit max_fit
2 30.675408 33.934229 93.609365
3 43.532568 31.070118 93.609365
4 58.066348 21.939133 93.609365
5 62.461722 21.032661 93.609365
6 62.44536 22.798904 93.609365
7 64.873849 21.445312 93.609365
8 69.750586 15.748532 93.609365
9 67.686512 21.506141 93.609365
10 66.896717 25.43791 93.609365
11 67.158933 26.070283 93.609365
12 73.795701 18.079654 93.609365
13 73.052619 23.308967 93.609365
14 72.244383 26.009787 93.609365
15 78.564801 18.243545 93.609365
16 79.812228 16.578904 93.609365
17 83.077478 15.981384 93.609365
18 85.636711 7.332502 93.609365
19 85.555737 10.282215 93.609365
20 85.825854 10.04543 93.654725
