mean_fit std_fit max_fit mean_gain std_gain max_gain
-2.337305 8.385397 30.2699 -96.2 9.35735 -60.0
-1.898799 9.506035 57.16227 -95.7 10.55983 -30.0
-0.059616 11.411081 57.16227 -93.65 12.69557 -30.0
0.880824 12.797942 57.2699 -92.6 14.256227 -30.0
1.084657 12.741576 57.2699 -92.29 14.211823 -30.0
2.96757 14.446557 57.2699 -90.19 16.099189 -30.0
4.700744 15.867457 57.2699 -88.259259 17.665114 -30.0
8.227498 18.733817 66.179917 -84.23622 20.833973 -20.0
9.508417 19.877357 66.179917 -82.796117 22.09835 -20.0
8.401756 20.024645 66.2699 -84.234234 22.281959 -20.0
9.190812 21.403274 66.2699 -83.301887 23.820148 -20.0
8.743495 21.678913 66.2699 -83.445545 24.717203 -20.0
8.100716 23.890974 94.818216 -83.578947 31.082769 100
7.364846 22.858754 94.818216 -84.444444 29.923209 100
3.867879 19.925924 94.818216 -87.82 27.699957 100
5.004146 21.173879 94.818216 -87.1 28.400528 100
1.602595 17.38652 94.818216 -90.9 25.143389 100
4.224138 20.344891 94.818216 -87.979798 27.706244 100
4.608764 21.360344 94.82385 -87.575758 28.642376 100
0.998844 16.552874 94.82385 -91.616162 24.524038 100
